"studyID","speciesID","observedLayYear","mean_clutch","min_clutch","max_clutch","mean_brood","min_brood","max_brood","mean_fledge","min_fledge","max_fledge","n_row"
"BRG-1","CYACAE",2017,11,8,13,10,5,11,7,3,11,10
"BRG-1","CYACAE",2018,11,9,12,10,8,12,10,8,11,6
"BRG-1","CYACAE",2019,10,9,12,10,3,12,8,2,11,10
"BRG-1","CYACAE",2020,10,7,12,8,0,10,5,0,8,17
"BRG-1","CYACAE",2021,9,5,11,8,0,11,4,0,9,21
"BRG-1","CYACAE",2022,9,3,11,8,3,11,2,0,7,21
"BRG-1","CYACAE",2023,9,6,12,8,3,12,3,0,10,28
"BRG-1","FICHYP",2018,6,6,6,2,2,2,1,1,1,1
"BRG-1","FICHYP",2020,6,6,7,6,6,6,6,6,6,2
"BRG-1","FICHYP",2021,6,6,6,,Inf,-Inf,,Inf,-Inf,1
"BRG-1","PARMAJ",2017,8,5,10,7,2,9,5,2,8,11
"BRG-1","PARMAJ",2018,8,7,9,7,7,9,7,5,9,10
"BRG-1","PARMAJ",2019,9,7,10,8,6,10,7,6,9,7
"BRG-1","PARMAJ",2020,8,5,10,7,0,9,3,0,5,11
"BRG-1","PARMAJ",2021,7,4,10,6,4,8,4,3,6,12
"BRG-1","PARMAJ",2022,7,3,10,6,2,10,3,0,6,13
"BRG-1","PARMAJ",2023,7,4,9,6,3,9,2,0,6,13
"BRG-1","PERATE",2019,8,8,8,8,8,8,8,8,8,1
"BRG-1","PERATE",2020,9,9,9,9,9,9,9,9,9,1
"BRG-1","PERATE",2023,10,9,10,10,9,10,10,9,10,2
"MON-1","CYACAE",2007,9,7,10,9,7,10,1,0,4,9
"MON-1","CYACAE",2008,10,10,10,7,7,7,0,0,0,1
"MON-1","CYACAE",2011,8,5,11,6,5,8,6,4,8,9
"MON-1","CYACAE",2012,8,4,10,5,0,8,5,0,8,6
"MON-1","CYACAE",2013,8,8,8,6,6,6,6,6,6,1
"MON-1","CYACAE",2014,8,5,12,6,0,9,4,0,7,13
"MON-1","CYACAE",2015,9,6,12,8,6,11,6,3,9,9
"MON-1","CYACAE",2016,9,5,11,9,5,11,3,0,6,11
"MON-1","CYACAE",2017,9,7,12,8,4,12,4,0,8,9
"MON-1","CYACAE",2018,9,7,10,9,7,10,4,0,9,7
"MON-1","CYACAE",2019,9,8,12,9,8,12,4,0,8,9
"MON-1","CYACAE",2020,9,8,10,8,0,10,5,0,8,9
"MON-1","CYACAE",2021,9,8,12,9,8,11,3,0,9,7
"MON-1","CYACAE",2022,8,6,10,8,6,10,4,0,9,9
"MON-1","CYACAE",2023,7,3,9,7,3,9,5,0,8,11
"MON-1","CYACAE",2024,8,6,10,8,6,10,4,0,8,9
"MON-1","LOPCRI",2020,7,7,7,7,7,7,,Inf,-Inf,1
"MON-1","LOPCRI",2021,7,7,7,7,7,7,5,5,5,1
"MON-1","LOPCRI",2024,7,7,7,7,7,7,7,7,7,1
"MON-1","PARMAJ",2007,8,5,14,7,0,14,4,0,9,18
"MON-1","PARMAJ",2008,6,3,8,6,0,8,0,0,6,26
"MON-1","PARMAJ",2009,7,4,10,6,4,9,2,0,7,19
"MON-1","PARMAJ",2010,7,3,10,6,0,9,2,0,7,28
"MON-1","PARMAJ",2011,8,4,12,6,0,11,5,0,11,104
"MON-1","PARMAJ",2012,7,4,13,5,0,10,4,0,8,140
"MON-1","PARMAJ",2013,8,3,12,5,0,10,4,0,10,162
"MON-1","PARMAJ",2014,7,3,11,6,0,11,3,0,9,146
"MON-1","PARMAJ",2015,7,2,15,5,0,11,4,0,11,128
"MON-1","PARMAJ",2016,7,3,11,6,0,10,3,0,9,132
"MON-1","PARMAJ",2017,7,3,13,6,0,13,3,0,8,130
"MON-1","PARMAJ",2018,7,4,13,6,0,11,3,0,9,128
"MON-1","PARMAJ",2019,7,4,10,6,0,9,3,0,8,157
"MON-1","PARMAJ",2020,7,4,10,6,0,10,4,0,10,124
"MON-1","PARMAJ",2021,7,2,11,5,0,11,3,0,9,175
"MON-1","PARMAJ",2022,7,3,15,5,0,12,3,0,9,134
"MON-1","PARMAJ",2023,7,2,11,5,0,11,3,0,10,137
"MON-1","PARMAJ",2024,7,2,12,5,0,12,3,0,8,177
"MON-1","PASDOM",2024,5,5,5,5,5,5,5,5,5,1
"MON-1","PASMON",2024,5,5,5,1,1,1,1,1,1,1
"MON-1","STUVUL",2017,6,6,6,6,6,6,6,6,6,1
"MOU-1","CYACAE",2011,8,4,10,7,0,10,7,0,10,34
"MOU-1","CYACAE",2013,9,1,13,6,0,11,5,0,11,67
"MOU-1","CYACAE",2014,9,2,13,6,0,11,5,0,10,94
"MOU-1","CYACAE",2015,8,1,11,5,0,10,5,0,9,92
"MOU-1","CYACAE",2016,8,3,11,6,0,11,5,0,9,103
"MOU-1","CYACAE",2017,8,6,11,7,0,11,6,0,10,133
"MOU-1","CYACAE",2018,8,2,11,6,0,10,5,0,9,129
"MOU-1","CYACAE",2019,8,4,11,7,0,11,4,0,10,148
"MOU-1","CYACAE",2020,8,3,12,7,1,11,5,0,9,112
"MOU-1","CYACAE",2021,8,3,11,7,1,11,5,0,10,164
"MOU-1","CYACAE",2022,8,3,12,7,0,12,6,0,12,143
"MOU-1","CYACAE",2023,8,1,12,7,0,12,5,0,11,134
"MOU-1","LOPCRI",2013,8,7,9,3,0,5,4,4,4,3
"MOU-1","LOPCRI",2014,6,6,7,4,4,4,4,4,4,2
"MOU-1","LOPCRI",2015,6,6,6,2,2,2,2,2,2,1
"MOU-1","LOPCRI",2023,6,6,7,0,0,0,0,0,0,2
"MOU-1","PARMAJ",2011,8,6,10,7,2,10,7,2,10,25
"MOU-1","PARMAJ",2012,8,3,13,6,1,9,6,1,9,29
"MOU-1","PARMAJ",2013,8,1,12,6,0,12,3,0,10,102
"MOU-1","PARMAJ",2014,8,1,12,6,0,10,4,0,10,135
"MOU-1","PARMAJ",2015,8,3,13,6,0,11,4,0,8,103
"MOU-1","PARMAJ",2016,7,5,10,6,0,10,5,0,9,88
"MOU-1","PARMAJ",2017,7,1,11,6,0,11,5,0,10,123
"MOU-1","PARMAJ",2018,8,1,11,6,0,10,4,0,9,93
"MOU-1","PARMAJ",2019,7,3,11,6,0,9,3,0,7,54
"MOU-1","PARMAJ",2020,7,4,11,7,0,11,5,0,8,78
"MOU-1","PARMAJ",2021,7,2,10,6,1,10,3,0,9,170
"MOU-1","PARMAJ",2022,8,3,11,7,0,10,5,0,10,176
"MOU-1","PARMAJ",2023,8,1,12,6,0,11,5,0,9,155
"MOU-1","PERATE",2013,7,3,9,6,0,9,6,0,9,45
"MOU-1","PERATE",2014,7,5,9,5,0,9,5,0,8,74
"MOU-1","PERATE",2015,7,6,9,6,0,8,6,0,8,41
"MOU-1","PERATE",2016,8,5,10,6,0,10,6,0,9,37
"MOU-1","PERATE",2017,7,4,9,6,3,8,6,2,8,52
"MOU-1","PERATE",2018,7,1,9,4,0,8,4,0,7,10
"MOU-1","PERATE",2019,7,5,8,6,0,8,5,2,8,18
"MOU-1","PERATE",2021,7,5,9,6,4,9,5,0,9,33
"MOU-1","PERATE",2022,7,1,10,7,0,9,6,0,9,25
"MOU-1","PERATE",2023,8,7,11,7,0,10,4,0,8,23
"MOU-1","POEPAL",2011,7,7,7,3,3,3,3,3,3,1
"MOU-1","POEPAL",2013,7,2,9,5,0,8,6,4,8,13
"MOU-1","POEPAL",2014,7,6,9,6,0,9,6,0,9,15
"MOU-1","POEPAL",2015,7,6,8,6,3,8,6,0,8,11
"MOU-1","POEPAL",2016,7,5,8,6,2,8,6,4,7,13
"MOU-1","POEPAL",2017,7,3,8,6,0,8,6,3,8,20
"MOU-1","POEPAL",2018,7,5,9,6,0,8,5,0,8,12
